Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes,Release Year,Profit,ROI
Splash,62599495.0,62599495.0,20331557.5,8000000.0,1984-03-09,unknown,107.0,walt disney pictures,original screenplay,comedy,fantasy,ron howard,91.0,6.2,21732.0,1984.0,54599495.0,682.4936875
Superman IV: The Quest for Peace,11227824.0,11227824.0,20331557.5,17000000.0,1987-07-24,unknown,107.0,warner bros.,based on comic/graphic novel,action,super hero,sidney j. furie,55.0,3.4,15164.0,1987.0,-5772176.0,-33.95397647058824
Superman II,108185706.0,108185706.0,20331557.5,50000000.0,1981-06-19,unknown,107.0,warner bros.,based on comic/graphic novel,adventure,super hero,richard donner,55.0,6.7,29512.0,1981.0,58185706.0,116.371412
Superman III,59950623.0,59950623.0,20331557.5,39000000.0,1983-06-17,unknown,107.0,warner bros.,based on comic/graphic novel,adventure,super hero,unknown,23.0,4.7,18070.0,1983.0,20950623.0,53.71954615384615
Sparkler,5494.0,5494.0,20331557.5,1000000.0,1999-03-19,r,107.0,strand,unknown,unknown,unknown,unknown,17.0,5.5,320.0,1999.0,-994506.0,-99.4506
The Specialist,57362581.0,57362581.0,20331557.5,45000000.0,1994-10-07,r,107.0,warner bros.,based on book/short story,action,contemporary fiction,unknown,4.0,4.9,18749.0,1994.0,12362581.0,27.472402222222218
The Sorcerer,12000000.0,12000000.0,20331557.5,21600000.0,1977-06-24,unknown,107.0,unknown,unknown,unknown,unknown,william friedkin,55.0,6.8,563.0,1977.0,-9600000.0,-44.44444444444444
Sisters in Law,33312.0,33312.0,20331557.5,300000.0,2006-04-12,,107.0,women make movies,based on real life events,documentary,factual,unknown,55.0,6.7,203.0,2006.0,-266688.0,-88.896
Smilla's Sense of Snow,2221994.0,2221994.0,20331557.5,35000000.0,1997-02-28,r,107.0,fox searchlight,based on book/short story,thriller/suspense,contemporary fiction,bille august,53.0,6.1,7280.0,1997.0,-32778006.0,-93.65144571428571
Assassins,30306268.0,83306268.0,20331557.5,50000000.0,1995-10-06,r,107.0,warner bros.,original screenplay,action,contemporary fiction,richard donner,9.0,5.9,23370.0,1995.0,33306268.0,66.612536
Star Trek: The Motion Picture,82258456.0,139000000.0,20331557.5,35000000.0,1979-12-07,pg,107.0,paramount pictures,based on tv,adventure,science fiction,robert wise,48.0,6.2,25454.0,1979.0,104000000.0,297.14285714285717
Star Trek III: The Search for Spock,76471046.0,87000000.0,20331557.5,18000000.0,1984-06-01,unknown,107.0,paramount pictures,based on tv,adventure,science fiction,leonard nimoy,55.0,6.5,22261.0,1984.0,69000000.0,383.33333333333337
Star Trek IV: The Voyage Home,109713132.0,133000000.0,20331557.5,24000000.0,1986-11-26,unknown,107.0,paramount pictures,based on tv,adventure,science fiction,leonard nimoy,55.0,7.3,26207.0,1986.0,109000000.0,454.1666666666667
Stand by Me,52287414.0,52287414.0,20331557.5,8000000.0,1986-08-08,unknown,107.0,sony/columbia,based on book/short story,drama,historical fiction,rob reiner,94.0,8.2,90143.0,1986.0,44287414.0,553.592675
Stone Cold,9286314.0,9286314.0,20331557.5,25000000.0,1991-05-17,r,107.0,sony pictures,original screenplay,action,contemporary fiction,unknown,29.0,4.6,52.0,1991.0,-15713686.0,-62.854744
The Stewardesses,13500000.0,25000000.0,20331557.5,200000.0,2069-07-25,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,4.3,86.0,2069.0,24800000.0,12400.0
Star Trek II: The Wrath of Khan,79912963.0,96800000.0,20331557.5,12000000.0,1982-06-04,pg,107.0,paramount pictures,based on tv,adventure,science fiction,unknown,55.0,7.8,36131.0,1982.0,84800000.0,706.6666666666666
Steal (Canadian Release),220944.0,220944.0,20331557.5,15000000.0,2003-04-25,,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.4,15106.0,2003.0,-14779056.0,-98.52704
Stonewall,304602.0,304602.0,20331557.5,2000000.0,1996-07-26,r,99.0,strand,based on real life events,drama,dramatization,unknown,55.0,7.0,741.0,1996.0,-1695398.0,-84.76989999999999
Star Trek V: The Final Frontier,52210049.0,70200000.0,20331557.5,30000000.0,1989-06-09,unknown,107.0,paramount pictures,based on tv,action,science fiction,unknown,55.0,5.0,20600.0,1989.0,40200000.0,134.0
Star Trek VI: The Undiscovered Country,74888996.0,96900000.0,20331557.5,27000000.0,1991-12-06,unknown,107.0,paramount pictures,based on tv,action,science fiction,unknown,55.0,7.2,23546.0,1991.0,69900000.0,258.8888888888889
Star Trek: Generations,75671262.0,120000000.0,20331557.5,38000000.0,1994-11-18,pg,107.0,paramount pictures,based on tv,adventure,science fiction,unknown,55.0,6.5,26465.0,1994.0,82000000.0,215.78947368421052
Stripes,85300000.0,85300000.0,20331557.5,10000000.0,1981-06-26,r,107.0,sony pictures,original screenplay,comedy,contemporary fiction,ivan reitman,88.0,6.8,19618.0,1981.0,75300000.0,753.0
Striptease,32773011.0,32773011.0,20331557.5,50000000.0,1996-06-28,r,115.0,sony pictures,based on book/short story,comedy,contemporary fiction,andrew bergman,12.0,3.9,18012.0,1996.0,-17226989.0,-34.453978
Saints and Soldiers,1310470.0,1310470.0,20331557.5,780000.0,2004-08-06,pg-13,90.0,excel entertainment,based on real life events,drama,dramatization,ryan little,55.0,7.0,7581.0,2004.0,530470.0,68.00897435897436
Strangers on a Train,7000000.0,7000000.0,20331557.5,1200000.0,2051-07-03,pg,107.0,warner bros.,unknown,unknown,unknown,alfred hitchcock,98.0,8.3,34284.0,2051.0,5800000.0,483.3333333333333
Sugar Hill,18272447.0,18272447.0,20331557.5,10000000.0,1994-02-25,r,107.0,20th century fox,original screenplay,drama,contemporary fiction,unknown,22.0,5.3,1627.0,1994.0,8272447.0,82.72447000000001
Stiff Upper Lips,69582.0,69582.0,20331557.5,5700000.0,1999-08-27,unknown,107.0,cowboy pictures,unknown,unknown,unknown,unknown,29.0,6.1,543.0,1999.0,-5630418.0,-98.77926315789473
Shichinin no samurai,271736.0,271736.0,20331557.5,500000.0,2056-11-19,unknown,107.0,cowboy pictures,original screenplay,action,historical fiction,akira kurosawa,55.0,8.8,96698.0,2056.0,-228264.0,-45.6528
Sweet Charity,8000000.0,8000000.0,20331557.5,20000000.0,1969-01-01,unknown,107.0,unknown,unknown,unknown,unknown,bob fosse,55.0,7.0,1691.0,1969.0,-12000000.0,-60.0
Sands of Iwo Jima,7800000.0,7800000.0,20331557.5,1000000.0,1949-01-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,100.0,7.1,4160.0,1949.0,6800000.0,680.0
The Swindle,245359.0,5045359.0,20331557.5,10000000.0,1998-12-25,unknown,107.0,new yorker,unknown,comedy,unknown,unknown,55.0,5.2,1417.0,1998.0,-4954641.0,-49.54641
Swingers,4505922.0,6542637.0,20331557.5,200000.0,1996-10-18,r,107.0,miramax,original screenplay,comedy,contemporary fiction,doug liman,86.0,6.2,431.0,1996.0,6342637.0,3171.3185
The Sweet Hereafter,4306697.0,4306697.0,20331557.5,5000000.0,1997-10-10,r,107.0,fine line,based on book/short story,drama,contemporary fiction,atom egoyan,100.0,7.8,16280.0,1997.0,-693303.0,-13.86606
She Wore a Yellow Ribbon,5400000.0,5400000.0,20331557.5,1600000.0,1949-01-01,unknown,107.0,unknown,unknown,unknown,unknown,john ford,100.0,7.3,5825.0,1949.0,3800000.0,237.5
Sex with Strangers,247740.0,247740.0,20331557.5,1100000.0,2002-02-22,,107.0,unknown,based on real life events,documentary,factual,unknown,39.0,5.0,151.0,2002.0,-852260.0,-77.47818181818181
Spy Hard,26936265.0,26936265.0,20331557.5,18000000.0,1996-05-24,pg-13,81.0,walt disney pictures,original screenplay,comedy,contemporary fiction,unknown,7.0,4.7,12682.0,1996.0,8936265.0,49.645916666666665
Shi Yue Wei Cheng,0.0,44195779.0,20331557.5,23000000.0,2009-12-18,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.9,1795.0,2009.0,21195779.0,92.15556086956522
Tango,1687311.0,1687311.0,20331557.5,4500000.0,1999-02-12,pg-13,107.0,sony pictures classics,original screenplay,drama,historical fiction,unknown,55.0,6.9,1490.0,1999.0,-2812689.0,-62.5042
The Age of Innocence,32014993.0,32014993.0,20331557.5,34000000.0,1993-09-17,unknown,107.0,sony/columbia,based on book/short story,drama,historical fiction,martin scorsese,81.0,7.1,16000.0,1993.0,-1985007.0,-5.838255882352941
Talk Radio,3468572.0,3468572.0,20331557.5,4000000.0,1988-12-01,unknown,107.0,universal,based on book/short story,drama,contemporary fiction,oliver stone,80.0,7.0,5659.0,1988.0,-531428.0,-13.2857
The Texas Chainsaw Massacre,26572439.0,26572439.0,20331557.5,140000.0,2074-10-18,r,107.0,new line,unknown,horror,unknown,tobe hooper,90.0,6.1,39172.0,2074.0,26432439.0,18880.31357142857
The Texas Chainsaw Massacre 2,8025872.0,8025872.0,20331557.5,4700000.0,1986-08-22,unknown,107.0,cannon,remake,horror,contemporary fiction,tobe hooper,43.0,5.1,7702.0,1986.0,3325872.0,70.7632340425532
Timecop,44853581.0,102053581.0,20331557.5,28000000.0,1994-09-16,r,107.0,universal,based on comic/graphic novel,action,science fiction,peter hyams,47.0,5.5,16570.0,1994.0,74053581.0,264.477075
Tin Cup,53854588.0,75854588.0,20331557.5,45000000.0,1996-08-16,r,105.0,warner bros.,original screenplay,romantic comedy,contemporary fiction,ron shelton,69.0,6.1,17274.0,1996.0,30854588.0,68.56575111111111
Torn Curtain,13000000.0,13000000.0,20331557.5,3000000.0,2066-07-16,unknown,107.0,unknown,unknown,unknown,unknown,alfred hitchcock,81.0,6.6,8670.0,2066.0,10000000.0,333.33333333333337
To Die For,21284514.0,27688744.0,20331557.5,20000000.0,1995-09-27,r,107.0,sony pictures,based on book/short story,black comedy,contemporary fiction,gus van sant,87.0,6.8,18459.0,1995.0,7688744.0,38.44372
Terror Train,8000000.0,8000000.0,20331557.5,3500000.0,1980-01-01,unknown,107.0,unknown,unknown,unknown,unknown,roger spottiswoode,33.0,5.5,2479.0,1980.0,4500000.0,128.57142857142858
The Fan,18582965.0,18582965.0,20331557.5,55000000.0,1996-08-16,r,117.0,sony pictures,based on book/short story,thriller/suspense,contemporary fiction,tony scott,40.0,5.6,20640.0,1996.0,-36417035.0,-66.21279090909091
Timber Falls,0.0,0.0,20331557.5,2600000.0,2007-12-07,r,107.0,slowhand cinema,original screenplay,horror,contemporary fiction,unknown,38.0,5.3,2213.0,2007.0,-2600000.0,-100.0
Tae Guik Gi: The Brotherhood of War,1110186.0,69826708.0,20331557.5,12500000.0,2004-09-03,r,107.0,idp distribution,original screenplay,drama,historical fiction,unknown,55.0,6.4,15106.0,2004.0,57326708.0,458.613664
The Incredibly True Adventure of Two Girls in Love,2210408.0,2477155.0,20331557.5,250000.0,1995-06-16,r,107.0,fine line,original screenplay,drama,contemporary fiction,unknown,55.0,5.8,1795.0,1995.0,2227155.0,890.8620000000001
There Goes My Baby,125169.0,125169.0,20331557.5,10500000.0,1994-09-02,r,107.0,orion pictures,original screenplay,comedy,contemporary fiction,unknown,55.0,6.3,507.0,1994.0,-10374831.0,-98.80791428571428
Tank Girl,4064333.0,4064333.0,20331557.5,25000000.0,1995-03-01,r,107.0,mgm,based on comic/graphic novel,action,science fiction,unknown,42.0,4.7,10772.0,1995.0,-20935667.0,-83.742668
Thunderball,63600000.0,141200000.0,20331557.5,9000000.0,2065-12-29,unknown,107.0,mgm,based on book/short story,action,unknown,unknown,91.0,7.0,27245.0,2065.0,132200000.0,1468.888888888889
The Calling,0.0,0.0,20331557.5,2500000.0,2009-12-31,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,3.4,1113.0,2009.0,-2500000.0,-100.0
The Craft,24769466.0,55669466.0,20331557.5,15000000.0,1996-05-03,r,100.0,sony pictures,original screenplay,thriller/suspense,fantasy,andrew fleming,45.0,5.9,21130.0,1996.0,40669466.0,271.12977333333333
It Happened One Night,2500000.0,2500000.0,20331557.5,325000.0,1934-01-01,unknown,107.0,unknown,unknown,romantic comedy,unknown,frank capra,97.0,8.3,25074.0,1934.0,2175000.0,669.2307692307693
The Net,50621733.0,110521733.0,20331557.5,22000000.0,1995-07-28,pg-13,107.0,sony pictures,original screenplay,thriller/suspense,science fiction,unknown,33.0,5.6,24363.0,1995.0,88521733.0,402.3715136363636
La otra conquista,886410.0,886410.0,20331557.5,3500000.0,2000-04-19,r,107.0,hombre de oro,original screenplay,drama,historical fiction,unknown,55.0,6.1,584.0,2000.0,-2613590.0,-74.67399999999999
The Journey,19800.0,19800.0,20331557.5,500000.0,2003-07-11,,107.0,unknown,unknown,unknown,unknown,unknown,55.0,4.4,74.0,2003.0,-480200.0,-96.04
They Live,13000000.0,13000000.0,20331557.5,4000000.0,1988-11-04,unknown,107.0,universal,based on book/short story,thriller/suspense,science fiction,john carpenter,88.0,7.0,20995.0,1988.0,9000000.0,225.0
Tales from the Hood,11784569.0,11784569.0,20331557.5,6000000.0,1995-05-24,r,107.0,savoy,original screenplay,horror,contemporary fiction,unknown,33.0,5.8,1860.0,1995.0,5784569.0,96.40948333333334
Time Bandits,37400000.0,37400000.0,20331557.5,12000000.0,1981-11-06,unknown,107.0,avco embassy,original screenplay,adventure,fantasy,terry gilliam,94.0,6.9,22719.0,1981.0,25400000.0,211.66666666666666
Tombstone,56505000.0,56505000.0,20331557.5,25000000.0,1993-12-25,r,107.0,walt disney pictures,based on real life events,western,dramatization,george p. cosmatos,77.0,7.7,43688.0,1993.0,31505000.0,126.02
Time Changer,1500711.0,1500711.0,20331557.5,825000.0,2002-10-25,pg,107.0,five & two pictures,original screenplay,drama,fantasy,unknown,22.0,5.0,1029.0,2002.0,675711.0,81.90436363636364
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813.0,78656813.0,20331557.5,25000000.0,1991-03-22,unknown,107.0,new line,based on comic/graphic novel,adventure,fantasy,unknown,55.0,5.3,12742.0,1991.0,53656813.0,214.627252
Teenage Mutant Ninja Turtles III,42273609.0,42273609.0,20331557.5,21000000.0,1993-03-19,unknown,107.0,new line,based on comic/graphic novel,adventure,fantasy,unknown,30.0,4.3,9064.0,1993.0,21273609.0,101.3029
Tango & Cash,63408614.0,63408614.0,20331557.5,55000000.0,1989-12-22,unknown,107.0,warner bros.,original screenplay,action,contemporary fiction,andrei konchalovsky,39.0,5.8,25248.0,1989.0,8408614.0,15.28838909090909
Topaz,6000000.0,6000000.0,20331557.5,4000000.0,2069-12-19,unknown,107.0,universal,unknown,unknown,unknown,alfred hitchcock,71.0,6.2,6389.0,2069.0,2000000.0,50.0
Taps,35856053.0,35856053.0,20331557.5,14000000.0,1981-12-09,unknown,107.0,20th century fox,based on book/short story,drama,contemporary fiction,harold becker,79.0,6.5,6515.0,1981.0,21856053.0,156.11466428571427
Trainspotting,16501785.0,24000785.0,20331557.5,3100000.0,1996-07-19,r,94.0,miramax,based on book/short story,drama,contemporary fiction,danny boyle,89.0,8.2,150483.0,1996.0,20900785.0,674.218870967742
The Train,6800000.0,6800000.0,20331557.5,5800000.0,2065-03-07,unknown,107.0,unknown,unknown,unknown,unknown,john frankenheimer,83.0,7.8,4692.0,2065.0,1000000.0,17.24137931034483
Troop Beverly Hills,7190505.0,7190505.0,20331557.5,18000000.0,1989-03-22,unknown,107.0,sony/columbia,original screenplay,comedy,contemporary fiction,unknown,8.0,4.7,3427.0,1989.0,-10809495.0,-60.052749999999996
Trekkies,617172.0,617172.0,20331557.5,375000.0,1999-05-21,pg,107.0,paramount pictures,based on real life events,documentary,factual,unknown,55.0,6.9,3004.0,1999.0,242172.0,64.5792
Travellers and Magicians,506793.0,1058893.0,20331557.5,1800000.0,2005-01-07,,107.0,zeitgeist,original screenplay,drama,unknown,unknown,55.0,7.4,1069.0,2005.0,-741107.0,-41.17261111111111
The Terminator,38019031.0,78019031.0,20331557.5,6400000.0,1984-10-26,unknown,107.0,orion pictures,original screenplay,action,science fiction,james cameron,100.0,8.1,179606.0,1984.0,71619031.0,1119.0473593749998
Tremors,16667084.0,16667084.0,20331557.5,10000000.0,1990-01-19,unknown,107.0,universal,original screenplay,action,science fiction,unknown,88.0,7.2,29840.0,1990.0,6667084.0,66.67084
True Romance,12281000.0,12281000.0,20331557.5,12500000.0,1993-09-10,unknown,107.0,warner bros.,original screenplay,thriller/suspense,contemporary fiction,tony scott,91.0,7.9,73829.0,1993.0,-219000.0,-1.752
Trapeze,14400000.0,14400000.0,20331557.5,4000000.0,1956-01-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,60.0,6.7,1570.0,1956.0,10400000.0,260.0
The Terrorist,195043.0,195043.0,20331557.5,25000.0,2000-01-14,,107.0,phaedra cinema,unknown,unknown,unknown,unknown,55.0,5.5,50.0,2000.0,170043.0,680.172
Things to Do in Denver when You're Dead,529766.0,529766.0,20331557.5,15000000.0,1995-12-01,r,107.0,miramax,original screenplay,black comedy,contemporary fiction,unknown,33.0,6.6,12789.0,1995.0,-14470234.0,-96.46822666666667
A Time to Kill,108766007.0,152266007.0,20331557.5,40000000.0,1996-07-24,r,150.0,warner bros.,based on book/short story,drama,contemporary fiction,joel schumacher,68.0,7.1,38577.0,1996.0,112266007.0,280.66501750000003
This Thing of Ours,37227.0,37227.0,20331557.5,2000000.0,2003-07-18,,107.0,unknown,unknown,drama,unknown,unknown,55.0,5.2,316.0,2003.0,-1962773.0,-98.13865
That Thing You Do!,25857416.0,31748615.0,20331557.5,2500000.0,1996-10-04,pg,110.0,20th century fox,original screenplay,drama,historical fiction,tom hanks,92.0,6.7,25916.0,1996.0,29248615.0,1169.9446
The Trouble With Harry,7000000.0,7000000.0,20331557.5,1200000.0,2055-10-03,unknown,107.0,paramount pictures,unknown,unknown,unknown,alfred hitchcock,89.0,7.2,11580.0,2055.0,5800000.0,483.3333333333333
Towering Inferno,116000000.0,139700000.0,20331557.5,14000000.0,2074-12-17,unknown,107.0,20th century fox,unknown,unknown,unknown,john guillermin,55.0,6.4,15106.0,2074.0,125700000.0,897.8571428571428
Taxi Driver,21100000.0,21100000.0,20331557.5,1000000.0,1976-02-08,unknown,107.0,sony pictures,original screenplay,drama,contemporary fiction,martin scorsese,98.0,8.6,155774.0,1976.0,20100000.0,2010.0000000000002
Tycoon,121016.0,121016.0,20331557.5,5000000.0,2003-06-13,,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.0,456.0,2003.0,-4878984.0,-97.57968
Twilight Zone: The Movie,29500000.0,29500000.0,20331557.5,10000000.0,1983-06-24,unknown,107.0,warner bros.,based on tv,horror,fantasy,steven spielberg,67.0,6.3,12054.0,1983.0,19500000.0,195.0
Unforgettable,2483790.0,2483790.0,20331557.5,18000000.0,1996-02-23,r,107.0,mgm,original screenplay,thriller/suspense,science fiction,john dahl,23.0,5.7,2284.0,1996.0,-15516210.0,-86.20116666666667
UHF,6157157.0,6157157.0,20331557.5,5000000.0,1989-07-21,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.6,12676.0,1989.0,1157157.0,23.143140000000002
Ulee's Gold,9054736.0,15600000.0,20331557.5,2700000.0,1997-06-13,r,107.0,orion pictures,original screenplay,drama,contemporary fiction,unknown,94.0,7.0,4041.0,1997.0,12900000.0,477.77777777777777
Under Siege 2: Dark Territory,50024083.0,104324083.0,20331557.5,60000000.0,1995-07-14,r,107.0,warner bros.,original screenplay,action,contemporary fiction,unknown,34.0,5.1,15218.0,1995.0,44324083.0,73.87347166666667
The Untouchables,76270454.0,76270454.0,20331557.5,25000000.0,1987-06-03,unknown,107.0,paramount pictures,based on tv,action,dramatization,brian de palma,81.0,8.0,86097.0,1987.0,51270454.0,205.081816
Under the Rainbow,18826490.0,18826490.0,20331557.5,20000000.0,1981-07-31,unknown,107.0,warner bros.,original screenplay,comedy,historical fiction,unknown,55.0,4.9,1263.0,1981.0,-1173510.0,-5.86755
Veer-Zaara,2938532.0,7017859.0,20331557.5,7000000.0,2004-11-12,,107.0,yash raj films,original screenplay,drama,contemporary fiction,unknown,55.0,7.3,4155.0,2004.0,17859.0,0.2551285714285714
Videodrome,2120439.0,2120439.0,20331557.5,5952000.0,1983-02-04,unknown,107.0,universal,original screenplay,horror,fantasy,david cronenberg,55.0,7.3,20080.0,1983.0,-3831561.0,-64.37434475806452
Les Visiteurs,659000.0,98754000.0,20331557.5,7000000.0,1996-07-12,r,107.0,miramax,original screenplay,comedy,fantasy,unknown,55.0,6.7,7393.0,1996.0,91754000.0,1310.7714285714285
"Couloirs du temps: Les visiteurs 2, Les",146072.0,26146072.0,20331557.5,20000000.0,1998-03-27,unknown,107.0,unknown,original screenplay,comedy,unknown,unknown,55.0,6.4,15106.0,1998.0,6146072.0,30.73036
The Valley of Decision,9132000.0,9132000.0,20331557.5,2160000.0,1945-01-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,7.3,682.0,1945.0,6972000.0,322.77777777777777
Vampire in Brooklyn,19637147.0,19637147.0,20331557.5,14000000.0,1995-10-27,r,107.0,paramount pictures,original screenplay,horror,fantasy,wes craven,11.0,4.3,8200.0,1995.0,5637147.0,40.26533571428572
The Verdict,53977250.0,53977250.0,20331557.5,16000000.0,1982-12-08,unknown,107.0,20th century fox,based on book/short story,drama,contemporary fiction,sidney lumet,96.0,7.7,10864.0,1982.0,37977250.0,237.3578125
Virtuosity,23998226.0,23998226.0,20331557.5,30000000.0,1995-08-04,r,107.0,paramount pictures,original screenplay,action,science fiction,unknown,34.0,5.3,11079.0,1995.0,-6001774.0,-20.005913333333332
Everything Put Together,0.0,0.0,20331557.5,500000.0,2001-11-02,r,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.7,418.0,2001.0,-500000.0,-100.0
A View to a Kill,50327960.0,152627960.0,20331557.5,30000000.0,1985-05-24,unknown,107.0,mgm,based on book/short story,action,contemporary fiction,john glen,39.0,6.1,23770.0,1985.0,122627960.0,408.75986666666665
The Work and the Glory: American Zion,2025032.0,2025032.0,20331557.5,6500000.0,2005-10-21,pg-13,100.0,vineyard distribution,based on book/short story,drama,historical fiction,unknown,55.0,5.6,365.0,2005.0,-4474968.0,-68.84566153846153
A Walk on the Moon,4741987.0,4741987.0,20331557.5,14000000.0,1999-03-26,r,107.0,miramax,original screenplay,drama,historical fiction,tony goldwyn,74.0,6.4,4125.0,1999.0,-9258013.0,-66.1286642857143
The Work and the Glory,3347647.0,3347647.0,20331557.5,7500000.0,2004-11-24,pg,107.0,excel entertainment,based on book/short story,drama,contemporary fiction,unknown,17.0,6.0,531.0,2004.0,-4152353.0,-55.36470666666666
The Work and the Story,16137.0,16137.0,20331557.5,103000.0,2003-10-03,,107.0,off-hollywood distribution,unknown,comedy,unknown,unknown,55.0,5.1,82.0,2003.0,-86863.0,-84.33300970873786
What the #$'! Do We Know,10941801.0,10941801.0,20331557.5,4000000.0,2004-02-06,,107.0,captured light,based on real life events,documentary,factual,unknown,55.0,6.4,15106.0,2004.0,6941801.0,173.545025
Waiting for Guffman,2922988.0,2922988.0,20331557.5,4000000.0,1997-01-31,r,107.0,sony pictures classics,original screenplay,comedy,contemporary fiction,christopher guest,55.0,7.4,14880.0,1997.0,-1077012.0,-26.925300000000004
White Fang,34729091.0,34729091.0,20331557.5,14000000.0,1991-01-18,unknown,107.0,walt disney pictures,based on book/short story,adventure,historical fiction,randal kleiser,67.0,6.4,15106.0,1991.0,20729091.0,148.06493571428572
White Squall,10229300.0,10229300.0,20331557.5,38000000.0,1996-02-02,pg-13,107.0,walt disney pictures,based on real life events,adventure,dramatization,ridley scott,63.0,6.4,8385.0,1996.0,-27770700.0,-73.08078947368422
What's Eating Gilbert Grape,9170214.0,9170214.0,20331557.5,11000000.0,1993-12-25,unknown,107.0,paramount pictures,unknown,drama,unknown,lasse hallstrom,88.0,7.8,51219.0,1993.0,-1829786.0,-16.63441818181818
Witchboard,7369373.0,7369373.0,20331557.5,2000000.0,1986-12-31,unknown,107.0,cinema guild,original screenplay,horror,fantasy,unknown,55.0,5.2,1666.0,1986.0,5369373.0,268.46865
The Wiz,13000000.0,13000000.0,20331557.5,24000000.0,1978-10-24,unknown,107.0,unknown,unknown,musical,unknown,sidney lumet,37.0,4.5,4896.0,1978.0,-11000000.0,-45.83333333333333
Walking and Talking,1287480.0,1615787.0,20331557.5,1000000.0,1996-07-17,r,107.0,miramax,original screenplay,romantic comedy,contemporary fiction,unknown,86.0,6.5,1756.0,1996.0,615787.0,61.5787
The Wild Bunch,509424.0,509424.0,20331557.5,6000000.0,2069-06-18,unknown,107.0,warner bros.,original screenplay,western,historical fiction,sam peckinpah,97.0,8.2,31196.0,2069.0,-5490576.0,-91.5096
Wall Street,43848100.0,43848100.0,20331557.5,15000000.0,1987-12-11,unknown,107.0,20th century fox,original screenplay,drama,contemporary fiction,oliver stone,78.0,7.3,35454.0,1987.0,28848100.0,192.32066666666668
The Wrong Man,2000000.0,2000000.0,20331557.5,1200000.0,2056-12-23,unknown,107.0,warner bros.,unknown,unknown,unknown,alfred hitchcock,89.0,7.5,7531.0,2056.0,800000.0,66.66666666666666
Woman Chaser,110719.0,110719.0,20331557.5,150000.0,2000-06-23,r,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.4,15106.0,2000.0,-39281.0,-26.187333333333335
We're No Angels,10555348.0,10555348.0,20331557.5,20000000.0,1989-12-15,unknown,107.0,paramount pictures,based on play,comedy,contemporary fiction,neil jordan,50.0,5.6,7839.0,1989.0,-9444652.0,-47.22326
Wolf,65011757.0,131011757.0,20331557.5,70000000.0,1994-06-17,r,107.0,sony pictures,original screenplay,thriller/suspense,fantasy,mike nichols,60.0,6.0,20035.0,1994.0,61011757.0,87.15965285714286
Warriors of Virtue,6448817.0,6448817.0,20331557.5,35000000.0,1997-05-02,pg,107.0,mgm,original screenplay,action,contemporary fiction,ronny yu,10.0,4.0,1202.0,1997.0,-28551183.0,-81.57480857142858
War Games,74433837.0,74433837.0,20331557.5,12000000.0,1983-06-03,unknown,107.0,mgm,original screenplay,thriller/suspense,science fiction,john badham,55.0,6.4,88.0,1983.0,62433837.0,520.281975
Warlock,8824553.0,8824553.0,20331557.5,7000000.0,1991-01-10,unknown,107.0,trimark,original screenplay,horror,science fiction,steve miner,55.0,5.9,4921.0,1991.0,1824553.0,26.065042857142856
War and Peace,12500000.0,12500000.0,20331557.5,6000000.0,1956-01-01,pg,107.0,unknown,unknown,unknown,unknown,king vidor,50.0,6.8,2923.0,1956.0,6500000.0,108.33333333333333
Warlock: The Armageddon,3902679.0,3902679.0,20331557.5,3000000.0,1993-09-24,unknown,107.0,trimark,original screenplay,horror,science fiction,unknown,55.0,4.9,1888.0,1993.0,902679.0,30.0893
Wasabi,81525.0,7000000.0,20331557.5,15300000.0,2002-09-27,r,107.0,sony pictures,unknown,unknown,unknown,unknown,55.0,6.5,11647.0,2002.0,-8300000.0,-54.248366013071895
West Side Story,43700000.0,43700000.0,20331557.5,6000000.0,2061-10-18,unknown,107.0,unknown,unknown,unknown,unknown,robert wise,92.0,7.7,29488.0,2061.0,37700000.0,628.3333333333334
When The Cat's Away,1652472.0,2525984.0,20331557.5,300000.0,1996-09-20,r,107.0,sony pictures classics,original screenplay,comedy,contemporary fiction,unknown,55.0,6.4,15106.0,1996.0,2225984.0,741.9946666666666
Welcome to the Dollhouse,4198137.0,4726732.0,20331557.5,800000.0,1996-05-10,r,107.0,sony pictures classics,original screenplay,comedy,contemporary fiction,todd solondz,55.0,7.3,13469.0,1996.0,3926732.0,490.8415
Witness,65532576.0,65532576.0,20331557.5,12000000.0,1985-02-08,unknown,107.0,paramount pictures,original screenplay,thriller/suspense,contemporary fiction,peter weir,94.0,7.6,30460.0,1985.0,53532576.0,446.1048
